,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
191,1,Prestige Serenity Shores,Whitefield,Prestige Group,Possession in 2027, 1.36 Cr - 1.41 Cr                                                             , 1.50 Cr - 2.18 Cr                                                             ,1399 - 2008 sqft,1260 - 1294 sqft,8.0
192,2,Provident Ecopolitan,Bagalur,Provident Housing Ltd.,Possession in 2027, 2.90 Cr                                                             , 35 Lac - 45 Lac                                                             ,600 - 800 sqft,2667  sqft,8.0
193,3,DS Max Sky Sanjeevini,Tumkur Road,DS MAX Properties Pvt. Ltd.,Possession in 2027, 55 Lac - 72 Lac                                                             , 75 Lac - 92 Lac                                                             ,1200 - 1500 sqft,900 - 1100 sqft,2.0
194,4,Sri Balaji Serene,Yelahanka,Sri Balaji Structures,Possession in 2024, 32.6 Lac - 43.3 Lac                                                             , 45 Lac - 55.6 Lac                                                             ,1286 - 1425 sqft,931 - 1171 sqft,10.0
195,5,Prominent Chourasia Revanta,Krishnarajapura,Prominent Infra,Possession in 2024, 57.9 Lac - 69 Lac                                                             , 72.5 Lac - 96.6 Lac                                                             ,1450 - 1933 sqft,1158 - 1381 sqft,5.0
196,6,Birla Trimaya,Devanahalli,Birla Estates,Possession in 2027, 66.1 Lac - 71.6 Lac                                                             , 77.3 Lac - 89.1 Lac                                                             ,1345 - 1550 sqft,1150 - 1245 sqft,9.0
197,7,RR Wish Tales,Jakkur,MSR Infraa,Possession in 2027, 50 Lac - 55 Lac                                                             , 78 Lac - 88 Lac                                                             ,769 - 819 sqft,489 - 516 sqft,5.0
198,8,LAVIVANT,Sarjapura,ATCO PROJECTS PRIVATE LIMITED,Possession in 2026, 97 Lac - 1.19 Cr                                                             , 95.4 Lac - 1.04 Cr                                                             ,1242 - 1327 sqft,945 - 1156 sqft,0.0
199,9,Prestige Park Grove,Whitefield,Prestige Estates Projects Ltd.,Possession in 2027, 1.06 Cr - 1.24 Cr                                                             , 1.39 Cr - 1.44 Cr                                                             ,1760 - 1833 sqft,1364 - 1619 sqft,1.0
200,10,Elegant Hermitage,Uttarahalli Hobli,Elegant Builders and Developers,Possession in 2025, 1.54 Cr - 1.62 Cr                                                             , 1.50 Cr - 2.39 Cr                                                             ,2507 - 3997 sqft,2572 - 2709 sqft,9.0
201,11,Sarang By Sumadhura Phase I,Whitefield,Sumadhura Infracon Pvt. Ltd.,Possession in 2026, 61 Lac - 67.7 Lac                                                             , 95 Lac - 1.15 Cr                                                             ,3739  sqft,658  sqft,10.0
202,12,Aurum At Brigade El Dorado,Bagalur Main Road,Brigade Group,Possession in 2027, 1.40 Cr - 1.80 Cr                                                             , 2.10 Cr - 3.40 Cr                                                             ,2133 - 3500 sqft,1400 - 1837 sqft,4.0
203,13,2 Oakland Estates,Devanahalli,DEAMANTE PROPERTIES,Possession in 2024, 3.25 Cr                                                             , 91.7 Lac - 1.03 Cr                                                             ,1175 - 1332 sqft,3300  sqft,2.0
204,14,The Grand Strand Address,"Hoodi, Hoodi",Address Maker,Possession in 2030, 1.19 Cr - 1.31 Cr                                                             , 1.64 Cr - 2 Cr                                                             ,1654 - 1920 sqft,1556 - 1719 sqft,5.0
205,15,Pride Altius,Tumkur Road,Pride Group,Possession in 2026, 2.15 Cr - 2.60 Cr                                                             , 60.7 Lac - 1.80 Cr                                                             ,938 - 975 sqft,2135 - 2580 sqft,1.0
206,16,Shivadhanush,Hoskote,Sowparnika Projects &amp; Infrastructure Pvt. Ltd.,Possession in 2027, 62 Lac - 11.50 Cr                                                             , 2.80 Cr - 3.31 Cr                                                             ,2800 - 3310 sqft,971 - 1562 sqft,0.0
207,17,DB Lakven Visishta,Kadugodi,DB Infra Developers,Possession in 2024, 1.39 Cr                                                             , 1.75 Cr - 2.44 Cr                                                             ,1526 - 2129 sqft,1213 - 1217 sqft,3.0
208,18,Abhee Srishti Layout,Anekal,Abhee Ventures Pvt. Ltd.,Possession in 2023, 74.9 Lac - 78 Lac                                                             , 1.25 Cr - 1.30 Cr                                                             ,1100 - 1233 sqft,671 - 900 sqft,3.0
209,19,Sree Urban Orchids Phase II,Panathur,Sree Builders and Developers,Possession in 2025, 63.2 Lac - 76.8 Lac                                                             , 71.9 Lac - 1.03 Cr                                                             ,1240 - 1792 sqft,1089 - 1324 sqft,6.0
210,20,Sree Urban Orchids Phase II,Panathur,Sree Builders and Developers,Possession in 2025, 26 Lac - 1.50 Cr                                                             , 68.6 Lac - 73 Lac                                                             ,1180 - 1260 sqft,1050 - 6000 sqft,7.0
211,21,Sree Urban Orchids Phase II,Panathur,Sree Builders and Developers,Possession in 2025, 85.4 Lac - 1.07 Cr                                                             , 1.28 Cr                                                             ,2200  sqft,1460 - 1865 sqft,4.0
212,0,Parleshwar Aangan,Vile Parle East,Panom Developers LLP,Possession in 2025, 1.68 Cr - 1.72 Cr                                                             , 2.61 Cr - 2.62 Cr                                                             ,676 - 680 sqft,440 - 450 sqft,5.0
213,1,Atharv Aaradhyam,Vile Parle East,Atharv Infra LLP,Possession in 2025, 3.43 Cr                                                             , 5.24 Cr                                                             ,1360  sqft,900  sqft,8.0
214,2,Lodha Vero,Sion,Lodha Group,Possession in 2028, 2.44 Cr - 2.52 Cr                                                             , 3.04 Cr - 3.07 Cr                                                             ,847 - 855 sqft,678 - 705 sqft,9.0
215,3,Agastya Signature,Vikhroli East,Agastya Developers,Possession in 2026, 5.56 Cr                                                             , 8.60 Cr                                                             ,1800  sqft,1535  sqft,9.0
216,4,Kabra Garnet,Malad West,Kabra Group,Possession in 2026, 10.40 Cr                                                             , 64.3 Lac - 76.5 Lac                                                             ,363 - 388 sqft,2180  sqft,8.0
217,5,Luma,Andheri East,The Dynamix Group,Possession in 2025, 1.15 Cr - 1.24 Cr                                                             , 1.20 Cr                                                             ,423  sqft,614 - 650 sqft,5.0
218,6,NG Platinum City,Vasai East,RNA NG Builders,Possession in 2024, 1.34 Cr - 1.90 Cr                                                             , 2.19 Cr - 2.43 Cr                                                             ,828 - 911 sqft,515 - 690 sqft,9.0
219,7,Dem Icon,Charkop Gaon,DEM Infra,Possession in 2026, 1.69 Cr                                                             , 2.99 Cr - 3.25 Cr                                                             ,1122 - 1124 sqft,624  sqft,9.0
220,8,Chandak Nostalgia,Malad West,Chandak Group,Possession in 2027, 35 Lac - 87.5 Lac                                                             , 92.8 Lac                                                             ,421  sqft,435 - 950 sqft,9.0
221,9,Veena Passcode Everything,Malad,Veena Developers,Possession in 2025, 1.32 Cr - 1.50 Cr                                                             , 1.97 Cr - 2.30 Cr                                                             ,718 - 744 sqft,563 - 684 sqft,3.0
222,10,Shraddha West Residency,Jogeshwari East,Shraddha Buildcon Pvt Ltd,Possession in 2025, 2.70 Cr - 3 Cr                                                             , 1.22 Cr                                                             ,436  sqft,1019 - 1068 sqft,9.0
223,11,Nicco Residency,Jogeshwari East,Neelkamal Realty &amp; Construction LLP,Possession in 2026, 1.91 Cr                                                             , 2.59 Cr                                                             ,923  sqft,683  sqft,8.0
224,12,Tricity Natraj,Chembur,Tricity Reality Pvt. Ltd.,Possession in 2025, 73 Lac - 74 Lac                                                             , 1.99 Cr - 2.14 Cr                                                             ,772 - 826 sqft,332 - 335 sqft,10.0
225,13,Sumit Gurukrishna,Vile Parle East,Sumit Woods Pvt. Ltd.,Possession in 2024, 2.60 Cr - 3.18 Cr                                                             , 4.32 Cr                                                             ,1671  sqft,1002 - 1228 sqft,1.0
226,14,JP North Aviva,Mira Road East,JP Infra,Possession in 2026, 2.18 Cr - 2.60 Cr                                                             , 3.48 Cr - 3.55 Cr                                                             ,740 - 1110 sqft,740  sqft,9.0
227,15,Puri SeleQt,Andheri East,PURI CREATORS,Possession in 2025, 2.97 Cr - 3.50 Cr                                                             , 4.23 Cr                                                             ,871  sqft,666 - 714 sqft,9.0
228,16,Raheja Residency,Malad East,K. Raheja Realty,Possession in 2027, 50 Lac - 60 Lac                                                             , 2.10 Cr - 2.42 Cr                                                             ,710 - 860 sqft,310 - 410 sqft,10.0
