,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
129,5,Mahidhara Harmony,Sarjapur Road,Mahidhara Projects Private Limited,Possession in 2024, 59.6 Lac                                                             , 1.25 Cr - 2 Cr                                                             ,995 - 1600 sqft,689  sqft,9.0
130,6,SLV Elanza,Thanisandra,SLV Infrastructures,Possession in 2027, 1.20 Cr - 2.47 Cr                                                             , 2 Cr - 2.35 Cr                                                             ,1585 - 1800 sqft,1017 - 1839 sqft,9.0
131,7,Sobha Sentosa,Panathur,SOBHA Ltd.,Possession in 2026, 76 Lac                                                             , 2.35 Cr                                                             ,1972  sqft,524 - 850 sqft,2.0
132,8,Assetz Bloom &amp; Dell,Whitefield,Assetz Property Group,Possession in 2027, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,8.0
133,9,Prestige Primrose Hills Phase 2,Kanakapura Road,Prestige Estates Projects Ltd.,Possession in 2027, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,6.0
134,10,Radiance Gardenia,Hennur Main Road,Radiance Realty Developers India Ltd.,Possession in 2025, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,9.0
135,11,Geown Oasis Phase 3,Sarjapura,Geown Properties Pvt. Ltd.,Possession in 2024, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,9.0
136,12,Sanjeevini Srushti Srigandha,Whitefield,Sanjeevini Group,Possession in 2026, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,0.0
137,13,Mahaveer Camelia,Krishnarajapura,Mahaveer Group,Possession in 2023, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,6.0
138,14,Siddanth Aartisan,Kanakapura Road,SIDDANTH BUILDERS AND DEVELOPERS LLP,Possession in 2024, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,7.0
139,15,Shree Sri Rama Badavane ,Anekal,Shree Developers,Possession in 2025, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft,2.0
140,0,Sri Krishna Kuttera,Devanahalli,Charigan Group,Possession in 2023, 65.4 Lac - 73 Lac                                                             , 77.6 Lac                                                             ,1358  sqft,1122 - 1271 sqft,5.0
141,1,KVG Aster,Horamavu,KVG Builders &amp; Developers,Possession in 2025, 24.6 Lac - 35.1 Lac                                                             , 35.4 Lac - 40.5 Lac                                                             ,822 - 942 sqft,572 - 817 sqft,5.0
142,2,Pride Sunrise Phase II,Jigani,Pride Group,Possession in 2025, 39 Lac - 48.4 Lac                                                             , 56 Lac - 62.3 Lac                                                             ,1246 - 1400 sqft,961 - 1061 sqft,9.0
143,3,ISR Udayam,Budigere Cross,ISR Constructions Pvt. Ltd.,Possession in 2025, 69.3 Lac - 87 Lac                                                             , 95 Lac - 1.13 Cr                                                             ,998 - 1350 sqft,780 - 1117 sqft,3.0
144,4,Inspira Tropical Garden,Electronic City,Inspira Builders,Possession in 2024, 63.6 Lac - 89 Lac                                                             , 90 Lac - 90.8 Lac                                                             ,714 - 900 sqft,700 - 1088 sqft,10.0
145,5,Macasa Emerald,Sarjapur Road,Mana Projects Pvt. Ltd.,Possession in 2026, 49 Lac - 53.4 Lac                                                             , 66.2 Lac - 77.7 Lac                                                             ,968 - 1200 sqft,716 - 900 sqft,4.0
146,6,GMC Aero Square,Devanahalli,Griha Mithra Constructions,Possession in 2025, 1.70 Cr - 1.92 Cr                                                             , 5 Cr - 8.12 Cr                                                             ,2896 - 4750 sqft,2395  sqft,6.0
147,7,Diamond Blossoms,Huskur,Prestige Group,Possession in 2025, 76.2 Lac - 96.1 Lac                                                             , 95.1 Lac - 1.33 Cr                                                             ,1265 - 1885 sqft,970 - 1420 sqft,4.0
148,8,Prestige Sanctuary,Devanahalli,Ranav Group,Possession in 2024, 1.56 Cr                                                             , 2.04 Cr                                                             ,2925  sqft,2100  sqft,1.0
