"MyUnknownColumn";"MyUnknownColumn_[0]";"Project_name";"Area_In_City";"Developer";"Possesion_Details";"3BHK_Carpet";"2BHK_Carpet";"Ratings";"2BHK_Prices";"3BHK_Prices"
102;16;"Icon Iconest 7";"Bommasandra";"ICON Infra Shelters Pvt. Ltd.";"Possession in 2025";"990  sqft";"1846  sqft";8.0;13600000.0;6600000.0
103;17;"Casagrand Zaiden";"Uttarahalli Manavarthekaval";"Casagrand Builder Pvt. Ltd.";"Possession in 2025";"990  sqft";"1846  sqft";4.0;13600000.0;6600000.0
104;18;"Sapthagiri Sandalwoods";"Kadugodi";"Sapthagiri Shelters";"Possession in 2024";"990  sqft";"1846  sqft";10.0;13600000.0;6600000.0
105;19;"Godrej Elevate";"Whitefield";"Godrej Properties";"Possession in 2027";"990  sqft";"1846  sqft";0.0;13600000.0;6600000.0
106;0;"Happy Homes Megan";"Phase 1 Electronics City";"Trishul Builders and Promoters";"Possession in 2024";"1160 - 1295 sqft";"1440 - 1446 sqft";1.0;6000000.0;6960000.0
107;1;"Srivari Forest Breeze";"Uttarahalli Hobli";"Srivari Infrastructures";"Possession in 2024";"1189 - 1335 sqft";"1450 - 1595 sqft";9.0;8700000.0;7130000.0
108;2;"Garuda Grand";"Hoodi, Hoodi";"Balaji Builders";"Possession in 2024";"3054 - 3901 sqft";"1571 - 1849 sqft";8.0;9420000.0;26400000.0
109;3;"Divine Meadows";"Sarjapura";"Max Global Developers";"Possession in 2026";"750 - 1220 sqft";"445  sqft";10.0;5400000.0;8500000.0
110;4;"Brigade Calista Phase 1";"Budigere Cross";"Brigade Group";"Possession in 2027";"1249 - 145152 sqft";"927 - 1760 sqft";2.0;10500000.0;19500000.0
111;5;"Visista By Vista Spaces Okas";"Yelahanka";"Vista Spaces";"Possession in 2026";"723 - 900 sqft";"1603 - 160300 sqft";9.0;24500000.0;6800000.0
112;6;"Shriram Solitaire";"Yelahanka New Town";"Shriram Properties Ltd.";"Possession in 2025";"2000 - 2172 sqft";"1240 - 1680 sqft";10.0;7300000.0;12000000.0
113;7;"Future Aspera";"Chandapura";"Future Infrastructures Pvt. Ltd.";"Possession in 2024";"675 - 1255 sqft";"603 - 810 sqft";2.0;6900000.0;7800000.0
114;8;"The Poem by Shriram Properties";"Jalahalli, Jalahalli, Outer Ring Road";"Shriram Properties Ltd.";"Possession in 2027";"1070 - 1111 sqft";"870 - 995 sqft";2.0;7010000.0;8500000.0
